date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,home_scored_last10,home_conceded_last10,away_scored_last10,away_conceded_last10
2014-10-11,Republic of Ireland,Gibraltar,7.0,0.0,UEFA Euro qualification,Dublin,Republic of Ireland,False,1694.4412441421257,1428.5946072738886,14.0,12.0,21.0,21.0
2014-10-11,Malawi,Algeria,0.0,2.0,African Cup of Nations qualification,Blantyre,Malawi,False,1118.0840591469967,1683.374263497023,9.0,14.0,18.0,10.0
2014-10-11,Uganda,Togo,0.0,1.0,African Cup of Nations qualification,Kampala,Uganda,False,1633.5472244626376,1176.9013078608193,10.0,7.0,10.0,17.0
2014-10-11,Sudan,Nigeria,1.0,0.0,African Cup of Nations qualification,Khartoum,Sudan,False,1133.9767989501668,1834.661855420518,10.0,15.0,10.0,13.0
2014-10-11,Scotland,Georgia,1.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False,1509.7120333425553,1035.2760397395484,12.0,10.0,6.0,13.0
2014-10-11,Congo,South Africa,0.0,2.0,African Cup of Nations qualification,Pointe-Noire,Congo,False,1250.4647009295738,1721.7208761000115,12.0,11.0,14.0,10.0
2014-10-11,Poland,Germany,2.0,0.0,UEFA Euro qualification,Warsaw,Poland,False,1673.0346689589094,2425.2357028514502,13.0,7.0,28.0,10.0
2014-10-11,Northern Ireland,Faroe Islands,2.0,0.0,UEFA Euro qualification,Belfast,Northern Ireland,False,969.1600435134761,487.8639869061025,8.0,15.0,9.0,22.0
2014-10-11,Niger,Zambia,0.0,0.0,African Cup of Nations qualification,Niamey,Niger,False,1000.4506986475232,1532.9671599422934,10.0,19.0,20.0,14.0
2014-10-11,Mozambique,Cape Verde,2.0,0.0,African Cup of Nations qualification,Maputo,Mozambique,False,1276.1583206635892,1408.3554699754593,13.0,7.0,14.0,12.0
2014-10-12,Austria,Montenegro,1.0,0.0,UEFA Euro qualification,Vienna,Austria,False,1399.0194748088509,1426.0407755129836,13.0,10.0,12.0,14.0
2014-10-12,Barbados,French Guiana,0.0,2.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True,1177.1744985349148,1224.9579811734488,12.0,17.0,20.0,8.0
2014-10-12,Belarus,Slovakia,1.0,3.0,UEFA Euro qualification,Barysaw,Belarus,False,1327.3867954561356,1475.5398337606105,16.0,11.0,13.0,6.0
2014-10-12,Timor-Leste,Brunei,4.0,2.0,AFF Championship qualification,Vientiane,Laos,True,786.8556217567185,901.9606670107738,14.0,30.0,15.0,25.0
2014-10-12,Estonia,England,0.0,1.0,UEFA Euro qualification,Tallinn,Estonia,False,1064.1758952653583,2148.1839076072774,9.0,8.0,16.0,6.0
2014-10-12,Guadeloupe,Curaçao,0.0,1.0,CFU Caribbean Cup qualification,Les Abymes,Guadeloupe,False,1566.1928555284169,961.4932735618959,38.0,15.0,10.0,19.0
2014-10-12,Haiti,Saint Kitts and Nevis,0.0,0.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False,1293.8680868114193,1239.1664863270653,9.0,17.0,16.0,15.0
2014-10-12,Laos,Cambodia,3.0,2.0,AFF Championship qualification,Vientiane,Laos,False,786.5555689879375,559.706186239574,12.0,22.0,4.0,35.0
2014-10-12,Ukraine,North Macedonia,1.0,0.0,UEFA Euro qualification,Lviv,Ukraine,False,1845.7248939756223,1163.6754828902438,18.0,5.0,8.0,20.0
2014-10-12,Lithuania,Slovenia,0.0,2.0,UEFA Euro qualification,Vilnius,Lithuania,False,985.2445747988991,1326.7224910182013,10.0,7.0,8.0,8.0
2014-10-12,Mexico,Panama,1.0,0.0,Friendly,Querétaro,Mexico,False,2013.9349881288401,1596.2996085707762,13.0,6.0,13.0,18.0
2014-10-12,Pakistan,Palestine,0.0,2.0,Friendly,Lahore,Pakistan,False,778.3328801773688,1334.1963071445623,9.0,17.0,21.0,9.0
2014-10-12,Philippines,Papua New Guinea,5.0,0.0,Friendly,Manila,Philippines,False,1214.0316528579149,1181.5154569296135,14.0,8.0,30.0,13.0
2014-10-12,Russia,Moldova,1.0,1.0,UEFA Euro qualification,Moscow,Russia,False,1873.5914309712907,859.4079214234748,17.0,5.0,11.0,12.0
2014-10-12,Saint Lucia,Dominican Republic,2.0,3.0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,True,907.227646134088,1212.432902414104,6.0,14.0,14.0,20.0
2014-10-12,Sweden,Liechtenstein,2.0,0.0,UEFA Euro qualification,Solna,Sweden,False,1824.3405510275509,368.6339687444401,11.0,12.0,2.0,26.0
2014-10-12,Tanzania,Benin,4.0,1.0,Friendly,Dar es Salaam,Tanzania,False,1212.7839609678877,1151.3005990589215,9.0,14.0,12.0,12.0
2014-10-12,Trinidad and Tobago,Antigua and Barbuda,1.0,0.0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,False,1456.5189686787078,1192.065843794298,17.0,11.0,9.0,17.0
2014-10-12,Luxembourg,Spain,0.0,4.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,504.2724153028899,2498.122972505436,10.0,27.0,15.0,12.0
2014-10-13,Kazakhstan,Czech Republic,2.0,4.0,UEFA Euro qualification,Astana,Kazakhstan,False,869.6609168319043,1748.016950550778,15.0,15.0,17.0,12.0
2014-10-13,Andorra,Israel,1.0,4.0,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,192.41177274069466,1439.3843873576027,2.0,28.0,15.0,14.0
2014-10-13,Bosnia and Herzegovina,Belgium,1.0,1.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,1562.0756658085008,1856.951543826367,11.0,11.0,22.0,4.0
2014-10-13,Croatia,Azerbaijan,6.0,0.0,UEFA Euro qualification,Osijek,Croatia,False,1981.8395633257956,945.3853222809821,18.0,9.0,8.0,12.0
2014-10-13,Iceland,Netherlands,2.0,0.0,UEFA Euro qualification,Reykjavík,Iceland,False,1150.028246720924,2289.7405450731544,12.0,9.0,19.0,9.0
2014-10-13,Jordan,Kuwait,1.0,1.0,Friendly,Amman,Jordan,False,1578.3684897070177,1594.1215366929907,11.0,11.0,11.0,17.0
2014-10-13,Malta,Italy,0.0,1.0,UEFA Euro qualification,Attard,Malta,False,503.1172978193337,2014.6965655971878,6.0,25.0,11.0,8.0
