exp,model,config,split,RPS,log_loss,Brier,acc
1_isolation,Base rate,-,val,0.22464092725256,1.0602259324356436,0.6398033104865873,0.466867469879518
1_isolation,Linear (alpha=0),full feats,val,0.1889254576452599,0.954918139478084,0.5643099834442681,0.5451807228915663
1_isolation,"MLP (weights, long)",w128 d2 do0.2 lr1e-3 | best@11/411,val,0.1873984142139312,0.9455619234119432,0.5620170407028183,0.5512048192771084
2_mlp_sweep,MLP,lr0.0005 d1 w64 do0.0,val,0.1881489740629495,0.9524991219218284,0.5648244220288922,0.5451807228915663
2_mlp_sweep,MLP,lr0.0005 d1 w64 do0.2,val,0.1881863512650481,0.9519357970489104,0.5648112927447206,0.5451807228915663
2_mlp_sweep,MLP,lr0.0005 d1 w128 do0.0,val,0.1883823265503409,0.9516295978872534,0.5647594250438296,0.5421686746987951
2_mlp_sweep,MLP,lr0.0005 d1 w128 do0.2,val,0.1883680868246862,0.9516231808987003,0.5647644361712707,0.5421686746987951
2_mlp_sweep,MLP,lr0.0005 d1 w256 do0.0,val,0.1879432949339931,0.951260266161142,0.563646296586095,0.5542168674698795
2_mlp_sweep,MLP,lr0.0005 d1 w256 do0.2,val,0.187695371120456,0.9499724522185172,0.5631005391457107,0.5572289156626506
2_mlp_sweep,MLP,lr0.0005 d2 w64 do0.0,val,0.1893833376127023,0.95519616214144,0.5670506329690207,0.5512048192771084
2_mlp_sweep,MLP,lr0.0005 d2 w64 do0.2,val,0.1895935294518865,0.9554910193758684,0.5672834052628066,0.5481927710843374
2_mlp_sweep,MLP,lr0.0005 d2 w128 do0.0,val,0.1870297780339992,0.9444898096799762,0.5612143321410296,0.5542168674698795
2_mlp_sweep,MLP,lr0.0005 d2 w128 do0.2,val,0.186913575850995,0.9440364668785988,0.560709224067252,0.5632530120481928
2_mlp_sweep,MLP,lr0.0005 d2 w256 do0.0,val,0.1876371585242989,0.9479143084950888,0.5616163864865994,0.5512048192771084
2_mlp_sweep,MLP,lr0.0005 d2 w256 do0.2,val,0.1875768850934287,0.9484883276379368,0.5618566261142569,0.5421686746987951
2_mlp_sweep,MLP,lr0.0005 d3 w64 do0.0,val,0.1875926732147389,0.9462547532609292,0.5620562677682502,0.5512048192771084
2_mlp_sweep,MLP,lr0.0005 d3 w64 do0.2,val,0.1877198553815796,0.9469915808037406,0.5620188171875324,0.5451807228915663
2_mlp_sweep,MLP,lr0.0005 d3 w128 do0.0,val,0.187378315615049,0.94723820327174,0.5623774177137484,0.5542168674698795
2_mlp_sweep,MLP,lr0.0005 d3 w128 do0.2,val,0.1873999648439865,0.9470980140470902,0.5622978258020406,0.5572289156626506
2_mlp_sweep,MLP,lr0.0005 d3 w256 do0.0,val,0.1865811618513736,0.9448372304208232,0.5603184355643741,0.5512048192771084
2_mlp_sweep,MLP,lr0.0005 d3 w256 do0.2,val,0.1876741293684496,0.9482176070678212,0.5628054977331931,0.5662650602409639
2_mlp_sweep,MLP,lr0.001 d1 w64 do0.0,val,0.1881136204879684,0.9522592867751756,0.5646766003948819,0.5451807228915663
2_mlp_sweep,MLP,lr0.001 d1 w64 do0.2,val,0.1879787219836617,0.9516106834289147,0.564481768650757,0.5481927710843374
2_mlp_sweep,MLP,lr0.001 d1 w128 do0.0,val,0.1884782200272559,0.9517398002591312,0.5647480657563483,0.5421686746987951
2_mlp_sweep,MLP,lr0.001 d1 w128 do0.2,val,0.1882562875504325,0.9506935609857384,0.5642284672664499,0.5451807228915663
