model,match_id,match,is_wc,outcome,action,model_p,implied,diff,hit,pnl
M2 NegBin+DC,26MAY31BRAPAN,Brazil vs Panama,False,draw,SELL,0.0611,0.1584,-0.0973,0.0,0.1584
M2 NegBin+DC,26MAY31BRAPAN,Brazil vs Panama,False,away,SELL,0.0236,0.0495,-0.026,0.0,0.0495
M3 NegBin+Frank,26MAY31BRAPAN,Brazil vs Panama,False,home,BUY,0.9291,0.7921,0.1371,1.0,0.2079
M3 NegBin+Frank,26MAY31BRAPAN,Brazil vs Panama,False,draw,SELL,0.0513,0.1584,-0.1071,0.0,0.1584
M3 NegBin+Frank,26MAY31BRAPAN,Brazil vs Panama,False,away,SELL,0.0196,0.0495,-0.0299,0.0,0.0495
M5 NegBin+Frank (calib 1X2+O/U),26MAY31BRAPAN,Brazil vs Panama,False,home,BUY,0.9765,0.7921,0.1844,1.0,0.2079
M5 NegBin+Frank (calib 1X2+O/U),26MAY31BRAPAN,Brazil vs Panama,False,draw,SELL,0.0134,0.1584,-0.145,0.0,0.1584
M5 NegBin+Frank (calib 1X2+O/U),26MAY31BRAPAN,Brazil vs Panama,False,away,SELL,0.01,0.0495,-0.0395,0.0,0.0495
M1 Poisson+DC,26JUN01MDVAFG,Maldives vs Afghanistan,False,home,BUY,0.3371,0.1765,0.1606,0.0,-0.1765
M1 Poisson+DC,26JUN01MDVAFG,Maldives vs Afghanistan,False,away,SELL,0.2975,0.451,-0.1535,1.0,-0.549
M2 NegBin+DC,26JUN01MDVAFG,Maldives vs Afghanistan,False,home,BUY,0.3387,0.1765,0.1622,0.0,-0.1765
M2 NegBin+DC,26JUN01MDVAFG,Maldives vs Afghanistan,False,away,SELL,0.2961,0.451,-0.1549,1.0,-0.549
M3 NegBin+Frank,26JUN01MDVAFG,Maldives vs Afghanistan,False,home,BUY,0.3372,0.1765,0.1607,0.0,-0.1765
M3 NegBin+Frank,26JUN01MDVAFG,Maldives vs Afghanistan,False,away,SELL,0.2767,0.451,-0.1743,1.0,-0.549
M5 NegBin+Frank (calib 1X2+O/U),26JUN01MDVAFG,Maldives vs Afghanistan,False,home,SELL,0.0927,0.1765,-0.0837,0.0,0.1765
M5 NegBin+Frank (calib 1X2+O/U),26JUN01MDVAFG,Maldives vs Afghanistan,False,draw,BUY,0.6086,0.3725,0.2361,0.0,-0.3725
M5 NegBin+Frank (calib 1X2+O/U),26JUN01MDVAFG,Maldives vs Afghanistan,False,away,SELL,0.2986,0.451,-0.1523,1.0,-0.549
M1 Poisson+DC,26JUN01SVKMLT,Slovakia vs Malta,False,home,BUY,0.8113,0.6535,0.1578,1.0,0.3465
M1 Poisson+DC,26JUN01SVKMLT,Slovakia vs Malta,False,draw,SELL,0.1377,0.2574,-0.1197,0.0,0.2574
M1 Poisson+DC,26JUN01SVKMLT,Slovakia vs Malta,False,away,SELL,0.051,0.0891,-0.0381,0.0,0.0891
M2 NegBin+DC,26JUN01SVKMLT,Slovakia vs Malta,False,home,BUY,0.8089,0.6535,0.1554,1.0,0.3465
M2 NegBin+DC,26JUN01SVKMLT,Slovakia vs Malta,False,draw,SELL,0.1393,0.2574,-0.1182,0.0,0.2574
M2 NegBin+DC,26JUN01SVKMLT,Slovakia vs Malta,False,away,SELL,0.0518,0.0891,-0.0373,0.0,0.0891
M3 NegBin+Frank,26JUN01SVKMLT,Slovakia vs Malta,False,home,BUY,0.8464,0.6535,0.1929,1.0,0.3465
M3 NegBin+Frank,26JUN01SVKMLT,Slovakia vs Malta,False,draw,SELL,0.1137,0.2574,-0.1437,0.0,0.2574
M3 NegBin+Frank,26JUN01SVKMLT,Slovakia vs Malta,False,away,SELL,0.0399,0.0891,-0.0492,0.0,0.0891
M5 NegBin+Frank (calib 1X2+O/U),26JUN01SVKMLT,Slovakia vs Malta,False,home,BUY,0.7257,0.6535,0.0722,1.0,0.3465
M5 NegBin+Frank (calib 1X2+O/U),26JUN01SVKMLT,Slovakia vs Malta,False,draw,SELL,0.1785,0.2574,-0.079,0.0,0.2574
M1 Poisson+DC,26JUN01BULMNE,Bulgaria vs Montenegro,False,home,BUY,0.5133,0.2772,0.236,0.0,-0.2772
M1 Poisson+DC,26JUN01BULMNE,Bulgaria vs Montenegro,False,draw,SELL,0.2415,0.4356,-0.1942,0.0,0.4356
M1 Poisson+DC,26JUN01BULMNE,Bulgaria vs Montenegro,False,away,SELL,0.2453,0.2871,-0.0419,1.0,-0.7129
M2 NegBin+DC,26JUN01BULMNE,Bulgaria vs Montenegro,False,home,BUY,0.5109,0.2772,0.2337,0.0,-0.2772
M2 NegBin+DC,26JUN01BULMNE,Bulgaria vs Montenegro,False,draw,SELL,0.2418,0.4356,-0.1939,0.0,0.4356
M2 NegBin+DC,26JUN01BULMNE,Bulgaria vs Montenegro,False,away,SELL,0.2474,0.2871,-0.0398,1.0,-0.7129
M3 NegBin+Frank,26JUN01BULMNE,Bulgaria vs Montenegro,False,home,BUY,0.5297,0.2772,0.2525,0.0,-0.2772
M3 NegBin+Frank,26JUN01BULMNE,Bulgaria vs Montenegro,False,draw,SELL,0.2431,0.4356,-0.1926,0.0,0.4356
M3 NegBin+Frank,26JUN01BULMNE,Bulgaria vs Montenegro,False,away,SELL,0.2273,0.2871,-0.0599,1.0,-0.7129
M5 NegBin+Frank (calib 1X2+O/U),26JUN01BULMNE,Bulgaria vs Montenegro,False,home,SELL,0.1746,0.2772,-0.1026,0.0,0.2772
M5 NegBin+Frank (calib 1X2+O/U),26JUN01BULMNE,Bulgaria vs Montenegro,False,draw,BUY,0.6431,0.4356,0.2075,0.0,-0.4356
M5 NegBin+Frank (calib 1X2+O/U),26JUN01BULMNE,Bulgaria vs Montenegro,False,away,SELL,0.1823,0.2871,-0.1048,1.0,-0.7129
M1 Poisson+DC,26JUN01NORSWE,Norway vs Sweden,False,home,SELL,0.7566,0.9802,-0.2236,1.0,-0.0198
M1 Poisson+DC,26JUN01NORSWE,Norway vs Sweden,False,draw,BUY,0.1445,0.0099,0.1346,0.0,-0.0099
M1 Poisson+DC,26JUN01NORSWE,Norway vs Sweden,False,away,BUY,0.0989,0.0099,0.089,0.0,-0.0099
M2 NegBin+DC,26JUN01NORSWE,Norway vs Sweden,False,home,SELL,0.7536,0.9802,-0.2266,1.0,-0.0198
M2 NegBin+DC,26JUN01NORSWE,Norway vs Sweden,False,draw,BUY,0.1457,0.0099,0.1358,0.0,-0.0099
M2 NegBin+DC,26JUN01NORSWE,Norway vs Sweden,False,away,BUY,0.1007,0.0099,0.0908,0.0,-0.0099
M3 NegBin+Frank,26JUN01NORSWE,Norway vs Sweden,False,home,SELL,0.7779,0.9802,-0.2023,1.0,-0.0198
M3 NegBin+Frank,26JUN01NORSWE,Norway vs Sweden,False,draw,BUY,0.1356,0.0099,0.1257,0.0,-0.0099
M3 NegBin+Frank,26JUN01NORSWE,Norway vs Sweden,False,away,BUY,0.0865,0.0099,0.0766,0.0,-0.0099
M1 Poisson+DC,26JUN01TURMKD,Turkiye vs North Macedonia,False,home,SELL,0.7525,0.9608,-0.2083,1.0,-0.0392
M1 Poisson+DC,26JUN01TURMKD,Turkiye vs North Macedonia,False,draw,BUY,0.1766,0.0294,0.1472,0.0,-0.0294
M1 Poisson+DC,26JUN01TURMKD,Turkiye vs North Macedonia,False,away,BUY,0.0709,0.0098,0.0611,0.0,-0.0098
M2 NegBin+DC,26JUN01TURMKD,Turkiye vs North Macedonia,False,home,SELL,0.751,0.9608,-0.2098,1.0,-0.0392
M2 NegBin+DC,26JUN01TURMKD,Turkiye vs North Macedonia,False,draw,BUY,0.1776,0.0294,0.1482,0.0,-0.0294
M2 NegBin+DC,26JUN01TURMKD,Turkiye vs North Macedonia,False,away,BUY,0.0715,0.0098,0.0617,0.0,-0.0098
M3 NegBin+Frank,26JUN01TURMKD,Turkiye vs North Macedonia,False,home,SELL,0.7804,0.9608,-0.1804,1.0,-0.0392
M3 NegBin+Frank,26JUN01TURMKD,Turkiye vs North Macedonia,False,draw,BUY,0.1614,0.0294,0.132,0.0,-0.0294
M3 NegBin+Frank,26JUN01TURMKD,Turkiye vs North Macedonia,False,away,BUY,0.0582,0.0098,0.0484,0.0,-0.0098
M5 NegBin+Frank (calib 1X2+O/U),26JUN01TURMKD,Turkiye vs North Macedonia,False,home,BUY,0.9901,0.9608,0.0293,1.0,0.0392
M5 NegBin+Frank (calib 1X2+O/U),26JUN01TURMKD,Turkiye vs North Macedonia,False,draw,SELL,0.0086,0.0294,-0.0208,0.0,0.0294
M1 Poisson+DC,26JUN01AUTTUN,Austria vs Tunisia,False,home,SELL,0.5736,0.6863,-0.1127,1.0,-0.3137
M1 Poisson+DC,26JUN01AUTTUN,Austria vs Tunisia,False,draw,BUY,0.277,0.2157,0.0613,0.0,-0.2157
M1 Poisson+DC,26JUN01AUTTUN,Austria vs Tunisia,False,away,BUY,0.1494,0.098,0.0514,0.0,-0.098
M2 NegBin+DC,26JUN01AUTTUN,Austria vs Tunisia,False,home,SELL,0.5717,0.6863,-0.1145,1.0,-0.3137
M2 NegBin+DC,26JUN01AUTTUN,Austria vs Tunisia,False,draw,BUY,0.2778,0.2157,0.0621,0.0,-0.2157
M2 NegBin+DC,26JUN01AUTTUN,Austria vs Tunisia,False,away,BUY,0.1505,0.098,0.0524,0.0,-0.098
M3 NegBin+Frank,26JUN01AUTTUN,Austria vs Tunisia,False,home,SELL,0.5793,0.6863,-0.1069,1.0,-0.3137
M3 NegBin+Frank,26JUN01AUTTUN,Austria vs Tunisia,False,draw,BUY,0.2785,0.2157,0.0628,0.0,-0.2157
M3 NegBin+Frank,26JUN01AUTTUN,Austria vs Tunisia,False,away,BUY,0.1422,0.098,0.0441,0.0,-0.098
M5 NegBin+Frank (calib 1X2+O/U),26JUN01AUTTUN,Austria vs Tunisia,False,home,SELL,0.5728,0.6863,-0.1134,1.0,-0.3137
M5 NegBin+Frank (calib 1X2+O/U),26JUN01AUTTUN,Austria vs Tunisia,False,draw,BUY,0.3747,0.2157,0.1591,0.0,-0.2157
M5 NegBin+Frank (calib 1X2+O/U),26JUN01AUTTUN,Austria vs Tunisia,False,away,SELL,0.0524,0.098,-0.0456,0.0,0.098
M5 NegBin+Frank (calib 1X2+O/U),26JUN01COLCRI,Colombia vs Costa Rica,False,home,BUY,0.9879,0.9208,0.0671,1.0,0.0792
M5 NegBin+Frank (calib 1X2+O/U),26JUN01COLCRI,Colombia vs Costa Rica,False,draw,SELL,0.0093,0.0594,-0.0501,0.0,0.0594
M3 NegBin+Frank,26JUN01CANUZB,Canada vs Uzbekistan,False,away,SELL,0.1456,0.1765,-0.0308,0.0,0.1765
M5 NegBin+Frank (calib 1X2+O/U),26JUN01CANUZB,Canada vs Uzbekistan,False,home,SELL,0.4006,0.4902,-0.0896,1.0,-0.5098
M5 NegBin+Frank (calib 1X2+O/U),26JUN01CANUZB,Canada vs Uzbekistan,False,draw,BUY,0.4805,0.3333,0.1472,0.0,-0.3333
M5 NegBin+Frank (calib 1X2+O/U),26JUN01CANUZB,Canada vs Uzbekistan,False,away,SELL,0.1189,0.1765,-0.0576,0.0,0.1765
M1 Poisson+DC,26JUN02CROBEL,Croatia vs Belgium,False,home,BUY,0.474,0.099,0.375,0.0,-0.099
M1 Poisson+DC,26JUN02CROBEL,Croatia vs Belgium,False,away,SELL,0.2756,0.6634,-0.3877,1.0,-0.3366
M2 NegBin+DC,26JUN02CROBEL,Croatia vs Belgium,False,home,BUY,0.4743,0.099,0.3753,0.0,-0.099
M2 NegBin+DC,26JUN02CROBEL,Croatia vs Belgium,False,away,SELL,0.2758,0.6634,-0.3875,1.0,-0.3366
M3 NegBin+Frank,26JUN02CROBEL,Croatia vs Belgium,False,home,BUY,0.475,0.099,0.376,0.0,-0.099
M3 NegBin+Frank,26JUN02CROBEL,Croatia vs Belgium,False,draw,BUY,0.2584,0.2376,0.0208,0.0,-0.2376
M3 NegBin+Frank,26JUN02CROBEL,Croatia vs Belgium,False,away,SELL,0.2666,0.6634,-0.3968,1.0,-0.3366
M5 NegBin+Frank (calib 1X2+O/U),26JUN02CROBEL,Croatia vs Belgium,False,home,SELL,0.0689,0.099,-0.0301,0.0,0.099
M5 NegBin+Frank (calib 1X2+O/U),26JUN02CROBEL,Croatia vs Belgium,False,draw,BUY,0.2732,0.2376,0.0356,0.0,-0.2376
M1 Poisson+DC,26JUN02MARMAD,Morocco vs Madagascar,False,home,SELL,0.9162,0.9802,-0.064,1.0,-0.0198
M1 Poisson+DC,26JUN02MARMAD,Morocco vs Madagascar,False,draw,BUY,0.0675,0.0099,0.0576,0.0,-0.0099
M2 NegBin+DC,26JUN02MARMAD,Morocco vs Madagascar,False,home,SELL,0.9143,0.9802,-0.0659,1.0,-0.0198
M2 NegBin+DC,26JUN02MARMAD,Morocco vs Madagascar,False,draw,BUY,0.069,0.0099,0.0591,0.0,-0.0099
M3 NegBin+Frank,26JUN02MARMAD,Morocco vs Madagascar,False,home,SELL,0.9249,0.9802,-0.0553,1.0,-0.0198
M3 NegBin+Frank,26JUN02MARMAD,Morocco vs Madagascar,False,draw,BUY,0.0608,0.0099,0.0509,0.0,-0.0099
M5 NegBin+Frank (calib 1X2+O/U),26JUN02MARMAD,Morocco vs Madagascar,False,draw,BUY,0.0347,0.0099,0.0248,0.0,-0.0099
M1 Poisson+DC,26JUN02GEOROU,Georgia vs Romania,False,home,BUY,0.4794,0.396,0.0833,0.0,-0.396
M1 Poisson+DC,26JUN02GEOROU,Georgia vs Romania,False,draw,SELL,0.2677,0.4059,-0.1382,1.0,-0.5941
M1 Poisson+DC,26JUN02GEOROU,Georgia vs Romania,False,away,BUY,0.2529,0.198,0.0549,0.0,-0.198
M2 NegBin+DC,26JUN02GEOROU,Georgia vs Romania,False,home,BUY,0.4806,0.396,0.0846,0.0,-0.396
M2 NegBin+DC,26JUN02GEOROU,Georgia vs Romania,False,draw,SELL,0.2673,0.4059,-0.1387,1.0,-0.5941
M2 NegBin+DC,26JUN02GEOROU,Georgia vs Romania,False,away,BUY,0.2521,0.198,0.054,0.0,-0.198
M3 NegBin+Frank,26JUN02GEOROU,Georgia vs Romania,False,home,BUY,0.5052,0.396,0.1092,0.0,-0.396
M3 NegBin+Frank,26JUN02GEOROU,Georgia vs Romania,False,draw,SELL,0.2673,0.4059,-0.1386,1.0,-0.5941
M3 NegBin+Frank,26JUN02GEOROU,Georgia vs Romania,False,away,BUY,0.2275,0.198,0.0294,0.0,-0.198
M5 NegBin+Frank (calib 1X2+O/U),26JUN02GEOROU,Georgia vs Romania,False,home,BUY,0.4213,0.396,0.0253,0.0,-0.396
M5 NegBin+Frank (calib 1X2+O/U),26JUN02GEOROU,Georgia vs Romania,False,draw,SELL,0.3641,0.4059,-0.0419,1.0,-0.5941
M1 Poisson+DC,26JUN02WALGHA,Wales vs Ghana,False,home,SELL,0.4815,0.549,-0.0675,0.0,0.549
M1 Poisson+DC,26JUN02WALGHA,Wales vs Ghana,False,away,BUY,0.2478,0.1961,0.0517,0.0,-0.1961
M2 NegBin+DC,26JUN02WALGHA,Wales vs Ghana,False,home,SELL,0.4822,0.549,-0.0668,0.0,0.549
M2 NegBin+DC,26JUN02WALGHA,Wales vs Ghana,False,away,BUY,0.2475,0.1961,0.0515,0.0,-0.1961
M3 NegBin+Frank,26JUN02WALGHA,Wales vs Ghana,False,home,SELL,0.4903,0.549,-0.0587,0.0,0.549
M3 NegBin+Frank,26JUN02WALGHA,Wales vs Ghana,False,away,BUY,0.235,0.1961,0.0389,0.0,-0.1961
M5 NegBin+Frank (calib 1X2+O/U),26JUN02WALGHA,Wales vs Ghana,False,home,SELL,0.4441,0.549,-0.1049,0.0,0.549
M5 NegBin+Frank (calib 1X2+O/U),26JUN02WALGHA,Wales vs Ghana,False,draw,BUY,0.4311,0.2549,0.1762,1.0,0.7451
M5 NegBin+Frank (calib 1X2+O/U),26JUN02WALGHA,Wales vs Ghana,False,away,SELL,0.1249,0.1961,-0.0712,0.0,0.1961
M1 Poisson+DC,26JUN02HTINZL,Haiti vs New Zealand,False,home,BUY,0.4127,0.3107,0.102,1.0,0.6893
M1 Poisson+DC,26JUN02HTINZL,Haiti vs New Zealand,False,away,SELL,0.2812,0.3981,-0.1169,0.0,0.3981
M2 NegBin+DC,26JUN02HTINZL,Haiti vs New Zealand,False,home,BUY,0.4128,0.3107,0.1021,1.0,0.6893
M2 NegBin+DC,26JUN02HTINZL,Haiti vs New Zealand,False,away,SELL,0.2818,0.3981,-0.1162,0.0,0.3981
M3 NegBin+Frank,26JUN02HTINZL,Haiti vs New Zealand,False,home,BUY,0.4156,0.3107,0.1049,1.0,0.6893
M3 NegBin+Frank,26JUN02HTINZL,Haiti vs New Zealand,False,away,SELL,0.2747,0.3981,-0.1233,0.0,0.3981
M5 NegBin+Frank (calib 1X2+O/U),26JUN02HTINZL,Haiti vs New Zealand,False,home,BUY,0.3544,0.3107,0.0438,1.0,0.6893
M5 NegBin+Frank (calib 1X2+O/U),26JUN02HTINZL,Haiti vs New Zealand,False,draw,SELL,0.1904,0.2913,-0.1009,0.0,0.2913
M5 NegBin+Frank (calib 1X2+O/U),26JUN02HTINZL,Haiti vs New Zealand,False,away,BUY,0.4552,0.3981,0.0571,0.0,-0.3981
M2 NegBin+DC,26JUN03PHIGUM,Philippines vs Guam,False,draw,BUY,0.04,0.0196,0.0204,0.0,-0.0196
M4 NegBin+Frank (calib 1X2),26JUN03PHIGUM,Philippines vs Guam,False,home,BUY,0.9955,0.9706,0.0249,1.0,0.0294
M1 Poisson+DC,26JUN03ALBISR,Albania vs Israel,False,home,BUY,0.3758,0.3333,0.0425,0.0,-0.3333
M1 Poisson+DC,26JUN03ALBISR,Albania vs Israel,False,draw,SELL,0.2941,0.4216,-0.1275,0.0,0.4216
M1 Poisson+DC,26JUN03ALBISR,Albania vs Israel,False,away,BUY,0.3301,0.2451,0.085,1.0,0.7549
M2 NegBin+DC,26JUN03ALBISR,Albania vs Israel,False,home,BUY,0.3759,0.3333,0.0426,0.0,-0.3333
M2 NegBin+DC,26JUN03ALBISR,Albania vs Israel,False,draw,SELL,0.294,0.4216,-0.1276,0.0,0.4216
M2 NegBin+DC,26JUN03ALBISR,Albania vs Israel,False,away,BUY,0.3301,0.2451,0.085,1.0,0.7549
M3 NegBin+Frank,26JUN03ALBISR,Albania vs Israel,False,home,BUY,0.377,0.3333,0.0437,0.0,-0.3333
M3 NegBin+Frank,26JUN03ALBISR,Albania vs Israel,False,draw,SELL,0.2967,0.4216,-0.1248,0.0,0.4216
M3 NegBin+Frank,26JUN03ALBISR,Albania vs Israel,False,away,BUY,0.3262,0.2451,0.0811,1.0,0.7549
M5 NegBin+Frank (calib 1X2+O/U),26JUN03ALBISR,Albania vs Israel,False,home,SELL,0.2166,0.3333,-0.1168,0.0,0.3333
M5 NegBin+Frank (calib 1X2+O/U),26JUN03ALBISR,Albania vs Israel,False,draw,BUY,0.6347,0.4216,0.2131,0.0,-0.4216
M5 NegBin+Frank (calib 1X2+O/U),26JUN03ALBISR,Albania vs Israel,False,away,SELL,0.1487,0.2451,-0.0963,1.0,-0.7549
M1 Poisson+DC,26JUN03DENCOD,Denmark vs Congo DR,False,home,SELL,0.4603,0.505,-0.0447,0.0,0.505
M1 Poisson+DC,26JUN03DENCOD,Denmark vs Congo DR,False,draw,SELL,0.3328,0.3564,-0.0236,1.0,-0.6436
M1 Poisson+DC,26JUN03DENCOD,Denmark vs Congo DR,False,away,BUY,0.2069,0.1386,0.0683,0.0,-0.1386
M2 NegBin+DC,26JUN03DENCOD,Denmark vs Congo DR,False,home,SELL,0.4589,0.505,-0.046,0.0,0.505
M2 NegBin+DC,26JUN03DENCOD,Denmark vs Congo DR,False,draw,SELL,0.333,0.3564,-0.0234,1.0,-0.6436
M2 NegBin+DC,26JUN03DENCOD,Denmark vs Congo DR,False,away,BUY,0.2081,0.1386,0.0695,0.0,-0.1386
M3 NegBin+Frank,26JUN03DENCOD,Denmark vs Congo DR,False,home,SELL,0.4539,0.505,-0.0511,0.0,0.505
M3 NegBin+Frank,26JUN03DENCOD,Denmark vs Congo DR,False,away,BUY,0.2012,0.1386,0.0626,0.0,-0.1386
M5 NegBin+Frank (calib 1X2+O/U),26JUN03DENCOD,Denmark vs Congo DR,False,home,SELL,0.3494,0.505,-0.1556,0.0,0.505
M5 NegBin+Frank (calib 1X2+O/U),26JUN03DENCOD,Denmark vs Congo DR,False,draw,BUY,0.5788,0.3564,0.2223,1.0,0.6436
M5 NegBin+Frank (calib 1X2+O/U),26JUN03DENCOD,Denmark vs Congo DR,False,away,SELL,0.0718,0.1386,-0.0668,0.0,0.1386
M1 Poisson+DC,26JUN03LUXITA,Luxembourg vs Italy,False,home,SELL,0.0581,0.1275,-0.0694,0.0,0.1275
M1 Poisson+DC,26JUN03LUXITA,Luxembourg vs Italy,False,draw,SELL,0.1945,0.2255,-0.031,0.0,0.2255
M1 Poisson+DC,26JUN03LUXITA,Luxembourg vs Italy,False,away,BUY,0.7474,0.6471,0.1004,1.0,0.3529
M2 NegBin+DC,26JUN03LUXITA,Luxembourg vs Italy,False,home,SELL,0.0583,0.1275,-0.0691,0.0,0.1275
M2 NegBin+DC,26JUN03LUXITA,Luxembourg vs Italy,False,draw,SELL,0.1953,0.2255,-0.0302,0.0,0.2255
M2 NegBin+DC,26JUN03LUXITA,Luxembourg vs Italy,False,away,BUY,0.7464,0.6471,0.0993,1.0,0.3529
M3 NegBin+Frank,26JUN03LUXITA,Luxembourg vs Italy,False,home,SELL,0.0511,0.1275,-0.0763,0.0,0.1275
M3 NegBin+Frank,26JUN03LUXITA,Luxembourg vs Italy,False,draw,SELL,0.1816,0.2255,-0.0439,0.0,0.2255
M3 NegBin+Frank,26JUN03LUXITA,Luxembourg vs Italy,False,away,BUY,0.7673,0.6471,0.1202,1.0,0.3529
M5 NegBin+Frank (calib 1X2+O/U),26JUN03LUXITA,Luxembourg vs Italy,False,home,SELL,0.102,0.1275,-0.0254,0.0,0.1275
M5 NegBin+Frank (calib 1X2+O/U),26JUN03LUXITA,Luxembourg vs Italy,False,draw,BUY,0.2701,0.2255,0.0446,0.0,-0.2255
M1 Poisson+DC,26JUN03POLNGR,Poland vs Nigeria,False,home,SELL,0.2734,0.495,-0.2216,0.0,0.495
M1 Poisson+DC,26JUN03POLNGR,Poland vs Nigeria,False,away,BUY,0.4617,0.2277,0.234,0.0,-0.2277
M2 NegBin+DC,26JUN03POLNGR,Poland vs Nigeria,False,home,SELL,0.2741,0.495,-0.2209,0.0,0.495
M2 NegBin+DC,26JUN03POLNGR,Poland vs Nigeria,False,away,BUY,0.4615,0.2277,0.2338,0.0,-0.2277
M3 NegBin+Frank,26JUN03POLNGR,Poland vs Nigeria,False,home,SELL,0.2683,0.495,-0.2268,0.0,0.495
M3 NegBin+Frank,26JUN03POLNGR,Poland vs Nigeria,False,away,BUY,0.4582,0.2277,0.2305,0.0,-0.2277
M5 NegBin+Frank (calib 1X2+O/U),26JUN03POLNGR,Poland vs Nigeria,False,home,BUY,0.5311,0.495,0.036,0.0,-0.495
M5 NegBin+Frank (calib 1X2+O/U),26JUN03POLNGR,Poland vs Nigeria,False,draw,SELL,0.2268,0.2772,-0.0504,1.0,-0.7228
M1 Poisson+DC,26JUN03NEDDZA,Netherlands vs Algeria,False,home,SELL,0.6038,0.7129,-0.1091,0.0,0.7129
M1 Poisson+DC,26JUN03NEDDZA,Netherlands vs Algeria,False,draw,BUY,0.2199,0.1881,0.0318,0.0,-0.1881
M1 Poisson+DC,26JUN03NEDDZA,Netherlands vs Algeria,False,away,BUY,0.1763,0.099,0.0773,1.0,0.901
M2 NegBin+DC,26JUN03NEDDZA,Netherlands vs Algeria,False,home,SELL,0.6031,0.7129,-0.1098,0.0,0.7129
M2 NegBin+DC,26JUN03NEDDZA,Netherlands vs Algeria,False,draw,BUY,0.22,0.1881,0.0319,0.0,-0.1881
M2 NegBin+DC,26JUN03NEDDZA,Netherlands vs Algeria,False,away,BUY,0.1769,0.099,0.0779,1.0,0.901
M3 NegBin+Frank,26JUN03NEDDZA,Netherlands vs Algeria,False,home,SELL,0.6312,0.7129,-0.0817,0.0,0.7129
M3 NegBin+Frank,26JUN03NEDDZA,Netherlands vs Algeria,False,draw,BUY,0.2116,0.1881,0.0235,0.0,-0.1881
M3 NegBin+Frank,26JUN03NEDDZA,Netherlands vs Algeria,False,away,BUY,0.1572,0.099,0.0581,1.0,0.901
M5 NegBin+Frank (calib 1X2+O/U),26JUN03NEDDZA,Netherlands vs Algeria,False,home,SELL,0.6564,0.7129,-0.0564,0.0,0.7129
M5 NegBin+Frank (calib 1X2+O/U),26JUN03NEDDZA,Netherlands vs Algeria,False,draw,BUY,0.2794,0.1881,0.0913,0.0,-0.1881
M5 NegBin+Frank (calib 1X2+O/U),26JUN03NEDDZA,Netherlands vs Algeria,False,away,SELL,0.0642,0.099,-0.0348,1.0,-0.901
M1 Poisson+DC,26JUN03KORSLV,Korea Republic vs El Salvador,False,home,SELL,0.8149,0.8627,-0.0479,1.0,-0.1373
M1 Poisson+DC,26JUN03KORSLV,Korea Republic vs El Salvador,False,draw,BUY,0.1514,0.0882,0.0632,0.0,-0.0882
M2 NegBin+DC,26JUN03KORSLV,Korea Republic vs El Salvador,False,home,SELL,0.8128,0.8627,-0.0499,1.0,-0.1373
M2 NegBin+DC,26JUN03KORSLV,Korea Republic vs El Salvador,False,draw,BUY,0.153,0.0882,0.0647,0.0,-0.0882
M3 NegBin+Frank,26JUN03KORSLV,Korea Republic vs El Salvador,False,home,SELL,0.8369,0.8627,-0.0259,1.0,-0.1373
M3 NegBin+Frank,26JUN03KORSLV,Korea Republic vs El Salvador,False,draw,BUY,0.1357,0.0882,0.0474,0.0,-0.0882
M3 NegBin+Frank,26JUN03KORSLV,Korea Republic vs El Salvador,False,away,SELL,0.0275,0.049,-0.0216,0.0,0.049
M4 NegBin+Frank (calib 1X2),26JUN03KORSLV,Korea Republic vs El Salvador,False,home,BUY,0.8969,0.8627,0.0341,1.0,0.1373
M4 NegBin+Frank (calib 1X2),26JUN03KORSLV,Korea Republic vs El Salvador,False,draw,SELL,0.0659,0.0882,-0.0223,0.0,0.0882
M5 NegBin+Frank (calib 1X2+O/U),26JUN03KORSLV,Korea Republic vs El Salvador,False,home,SELL,0.571,0.8627,-0.2917,1.0,-0.1373
M5 NegBin+Frank (calib 1X2+O/U),26JUN03KORSLV,Korea Republic vs El Salvador,False,draw,BUY,0.4135,0.0882,0.3253,0.0,-0.0882
M5 NegBin+Frank (calib 1X2+O/U),26JUN03KORSLV,Korea Republic vs El Salvador,False,away,SELL,0.0155,0.049,-0.0335,0.0,0.049
M1 Poisson+DC,26JUN03PANDOM,Panama vs Dominican Republic,False,home,BUY,0.8078,0.7255,0.0823,1.0,0.2745
M1 Poisson+DC,26JUN03PANDOM,Panama vs Dominican Republic,False,draw,SELL,0.124,0.1765,-0.0524,0.0,0.1765
M1 Poisson+DC,26JUN03PANDOM,Panama vs Dominican Republic,False,away,SELL,0.0682,0.098,-0.0299,0.0,0.098
M2 NegBin+DC,26JUN03PANDOM,Panama vs Dominican Republic,False,home,BUY,0.8062,0.7255,0.0807,1.0,0.2745
M2 NegBin+DC,26JUN03PANDOM,Panama vs Dominican Republic,False,draw,SELL,0.1248,0.1765,-0.0517,0.0,0.1765
M2 NegBin+DC,26JUN03PANDOM,Panama vs Dominican Republic,False,away,SELL,0.069,0.098,-0.029,0.0,0.098
M3 NegBin+Frank,26JUN03PANDOM,Panama vs Dominican Republic,False,home,BUY,0.826,0.7255,0.1005,1.0,0.2745
M3 NegBin+Frank,26JUN03PANDOM,Panama vs Dominican Republic,False,draw,SELL,0.1153,0.1765,-0.0612,0.0,0.1765
