match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Ghana vs Panama,2026-06-18,home,BUY,0.4902,0.41,0.0802,True,0.59,1,0
Ghana vs Panama,2026-06-18,draw,SELL,0.2638,0.31,-0.0462,False,0.31,1,0
Ghana vs Panama,2026-06-18,away,SELL,0.246,0.3,-0.054,False,0.3,1,0
Portugal vs Congo DR,2026-06-17,home,SELL,0.6206,0.65,-0.0294,False,0.65,1,1
Portugal vs Congo DR,2026-06-17,draw,SELL,0.2307,0.29,-0.0593,True,-0.71,1,1
Portugal vs Congo DR,2026-06-17,away,BUY,0.1487,0.08,0.0687,False,-0.08,1,1
Uzbekistan vs Colombia,2026-06-18,home,BUY,0.1779,0.1,0.0779,False,-0.1,1,3
Uzbekistan vs Colombia,2026-06-18,draw,BUY,0.2606,0.2,0.0606,False,-0.2,1,3
Uzbekistan vs Colombia,2026-06-18,away,SELL,0.5616,0.72,-0.1584,True,-0.28,1,3
Canada vs Qatar,2026-06-18,home,SELL,0.5133,0.75,-0.2367,True,-0.25,6,0
Canada vs Qatar,2026-06-18,draw,BUY,0.2759,0.18,0.0959,False,-0.18,6,0
Canada vs Qatar,2026-06-18,away,BUY,0.2109,0.09,0.1209,False,-0.09,6,0
Czechia vs South Africa,2026-06-18,home,SELL,0.5368,0.74,-0.2032,False,0.74,1,1
Czechia vs South Africa,2026-06-18,draw,BUY,0.2575,0.21,0.0475,True,0.79,1,1
Czechia vs South Africa,2026-06-18,away,BUY,0.2057,0.07,0.1357,False,-0.07,1,1
Mexico vs Korea Republic,2026-06-19,home,SELL,0.4527,0.48,-0.0273,True,-0.52,1,0
Switzerland vs Bosnia and Herzegovina,2026-06-18,draw,SELL,0.2581,0.34,-0.0819,False,0.34,3,1
Switzerland vs Bosnia and Herzegovina,2026-06-18,away,BUY,0.1974,0.15,0.0474,False,-0.15,3,1
Brazil vs Haiti,2026-06-20,home,SELL,0.7894,0.89,-0.1006,True,-0.11,3,0
Brazil vs Haiti,2026-06-20,draw,BUY,0.1418,0.08,0.0618,False,-0.08,3,0
Scotland vs Morocco,2026-06-19,home,BUY,0.2104,0.16,0.0504,False,-0.16,0,1
Scotland vs Morocco,2026-06-19,away,SELL,0.5218,0.59,-0.0682,True,-0.41,0,1
Turkiye vs Paraguay,2026-06-20,home,BUY,0.4837,0.38,0.1037,False,-0.38,0,1
Turkiye vs Paraguay,2026-06-20,draw,SELL,0.2718,0.32,-0.0482,False,0.32,0,1
Turkiye vs Paraguay,2026-06-20,away,SELL,0.2446,0.3,-0.0554,True,-0.7,0,1
USA vs Australia,2026-06-19,home,SELL,0.4349,0.61,-0.1751,True,-0.39,2,0
USA vs Australia,2026-06-19,draw,BUY,0.292,0.22,0.072,False,-0.22,2,0
USA vs Australia,2026-06-19,away,BUY,0.2731,0.19,0.0831,False,-0.19,2,0
Ecuador vs Curacao,2026-06-21,home,SELL,0.6715,0.85,-0.1785,False,0.85,0,0
Ecuador vs Curacao,2026-06-21,draw,BUY,0.2072,0.11,0.0972,True,0.89,0,0
Ecuador vs Curacao,2026-06-21,away,BUY,0.1213,0.06,0.0613,False,-0.06,0,0
Germany vs Ivory Coast,2026-06-20,home,SELL,0.5291,0.7,-0.1709,True,-0.3,2,1
Germany vs Ivory Coast,2026-06-20,draw,BUY,0.2526,0.19,0.0626,False,-0.19,2,1
