model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,0-0,3-1,SELL,0.0693,0.187,-0.1177,0.0,0.187
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,0-1,3-1,SELL,0.0435,0.0894,-0.0459,0.0,0.0894
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,1-0,3-1,SELL,0.1287,0.2033,-0.0745,0.0,0.2033
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,1-1,3-1,SELL,0.092,0.1138,-0.0218,0.0,0.1138
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,2-0,3-1,BUY,0.1163,0.0894,0.0268,0.0,-0.0894
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,2-1,3-1,BUY,0.0982,0.065,0.0332,0.0,-0.065
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,3-0,3-1,BUY,0.0711,0.0325,0.0386,0.0,-0.0325
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,3-1,3-1,BUY,0.0689,0.0163,0.0526,1.0,0.9837
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,3-2,3-1,BUY,0.0311,0.0081,0.0229,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,4-0,3-1,BUY,0.0341,0.0081,0.0259,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16FRASEN,France vs Senegal,4-1,3-1,BUY,0.0358,0.0081,0.0276,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,0-0,3-1,SELL,0.0102,0.187,-0.1768,0.0,0.187
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,0-1,3-1,SELL,0.0109,0.0894,-0.0786,0.0,0.0894
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,1-0,3-1,SELL,0.0341,0.2033,-0.1692,0.0,0.2033
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,1-1,3-1,SELL,0.0376,0.1138,-0.0762,0.0,0.1138
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,2-0,3-1,SELL,0.055,0.0894,-0.0345,0.0,0.0894
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,3-0,3-1,BUY,0.0576,0.0325,0.0251,0.0,-0.0325
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,3-1,3-1,BUY,0.0756,0.0163,0.0593,1.0,0.9837
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,3-2,3-1,BUY,0.0488,0.0081,0.0406,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,4-0,3-1,BUY,0.0453,0.0081,0.0372,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,4-1,3-1,BUY,0.0653,0.0081,0.0571,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,4-2,3-1,BUY,0.0461,0.0081,0.038,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,5-1,3-1,BUY,0.0453,0.0081,0.0371,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16FRASEN,France vs Senegal,5-2,3-1,BUY,0.0344,0.0081,0.0263,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,0-0,1-4,BUY,0.0722,0.0081,0.0641,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,0-1,1-4,BUY,0.1534,0.0081,0.1453,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,0-2,1-4,BUY,0.1595,0.0081,0.1514,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,0-3,1-4,BUY,0.1111,0.0081,0.103,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,0-4,1-4,BUY,0.0596,0.0081,0.0515,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,1-1,1-4,BUY,0.0651,0.0081,0.0571,0.0,-0.0081
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,1-2,1-4,SELL,0.0809,0.121,-0.0401,0.0,0.121
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,1-3,1-4,SELL,0.0661,0.1855,-0.1193,0.0,0.1855
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,1-4,1-4,SELL,0.0395,0.1371,-0.0976,1.0,-0.8629
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,1-5,1-4,SELL,0.0185,0.0565,-0.038,0.0,0.0565
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,2-2,1-4,SELL,0.0205,0.0645,-0.044,0.0,0.0645
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,2-3,1-4,SELL,0.018,0.0887,-0.0707,0.0,0.0887
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,2-4,1-4,SELL,0.0113,0.0806,-0.0693,0.0,0.0806
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,2-5,1-4,SELL,0.0054,0.0484,-0.0429,0.0,0.0484
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,3-2,1-4,SELL,0.0035,0.0242,-0.0207,0.0,0.0242
M3 NegBin+Frank,26JUN16IRQNOR,Iraq vs Norway,3-3,1-4,SELL,0.0032,0.0242,-0.021,0.0,0.0242
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,0-0,1-4,BUY,0.0475,0.0081,0.0394,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,0-1,1-4,BUY,0.1258,0.0081,0.1177,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,0-2,1-4,BUY,0.1641,0.0081,0.1561,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,0-3,1-4,BUY,0.1421,0.0081,0.134,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,0-4,1-4,BUY,0.0934,0.0081,0.0853,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,0-5,1-4,BUY,0.0503,0.0081,0.0422,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,1-1,1-4,BUY,0.0403,0.0081,0.0323,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,1-2,1-4,SELL,0.0612,0.121,-0.0597,0.0,0.121
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,1-3,1-4,SELL,0.0626,0.1855,-0.1229,0.0,0.1855
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,1-4,1-4,SELL,0.047,0.1371,-0.0901,1.0,-0.8629
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,1-5,1-4,SELL,0.0275,0.0565,-0.0289,0.0,0.0565
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,2-2,1-4,SELL,0.0121,0.0645,-0.0524,0.0,0.0645
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,2-3,1-4,SELL,0.0131,0.0887,-0.0756,0.0,0.0887
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,2-4,1-4,SELL,0.0104,0.0806,-0.0703,0.0,0.0806
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,2-5,1-4,SELL,0.0063,0.0484,-0.0421,0.0,0.0484
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,3-2,1-4,SELL,0.0017,0.0242,-0.0225,0.0,0.0242
M4 NegBin+Frank (calib 1X2),26JUN16IRQNOR,Iraq vs Norway,3-3,1-4,SELL,0.0018,0.0242,-0.0224,0.0,0.0242
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,0-5,1-4,BUY,0.0325,0.0081,0.0245,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,0-6,1-4,BUY,0.0576,0.0081,0.0496,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,0-7,1-4,BUY,0.0876,0.0081,0.0795,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,1-2,1-4,SELL,0.0007,0.121,-0.1203,0.0,0.121
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,1-3,1-4,SELL,0.0025,0.1855,-0.183,0.0,0.1855
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,1-4,1-4,SELL,0.0066,0.1371,-0.1305,1.0,-0.8629
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,1-5,1-4,SELL,0.0141,0.0565,-0.0423,0.0,0.0565
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,1-7,1-4,BUY,0.0403,0.0081,0.0323,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,2-2,1-4,SELL,0.0002,0.0645,-0.0643,0.0,0.0645
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,2-3,1-4,SELL,0.0006,0.0887,-0.0881,0.0,0.0887
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,2-4,1-4,SELL,0.0017,0.0806,-0.079,0.0,0.0806
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,2-5,1-4,SELL,0.0036,0.0484,-0.0448,0.0,0.0484
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,3-2,1-4,SELL,0.0,0.0242,-0.0242,0.0,0.0242
M5 NegBin+Frank (calib 1X2+O/U),26JUN16IRQNOR,Iraq vs Norway,3-3,1-4,SELL,0.0001,0.0242,-0.0241,0.0,0.0242
M3 NegBin+Frank,26JUN16ARGDZA,Argentina vs Algeria,0-0,3-0,BUY,0.1627,0.0079,0.1548,0.0,-0.0079
M3 NegBin+Frank,26JUN16ARGDZA,Argentina vs Algeria,0-1,3-0,BUY,0.0537,0.0079,0.0458,0.0,-0.0079
M3 NegBin+Frank,26JUN16ARGDZA,Argentina vs Algeria,1-0,3-0,BUY,0.2231,0.1667,0.0564,0.0,-0.1667
M3 NegBin+Frank,26JUN16ARGDZA,Argentina vs Algeria,2-0,3-0,SELL,0.152,0.1905,-0.0385,0.0,0.1905
M3 NegBin+Frank,26JUN16ARGDZA,Argentina vs Algeria,3-0,3-0,SELL,0.0711,0.1032,-0.0321,1.0,-0.8968
M3 NegBin+Frank,26JUN16ARGDZA,Argentina vs Algeria,3-1,3-0,SELL,0.0405,0.0794,-0.0389,0.0,0.0794
M4 NegBin+Frank (calib 1X2),26JUN16ARGDZA,Argentina vs Algeria,0-0,3-0,BUY,0.0806,0.0079,0.0727,0.0,-0.0079
M4 NegBin+Frank (calib 1X2),26JUN16ARGDZA,Argentina vs Algeria,0-1,3-0,BUY,0.0459,0.0079,0.038,0.0,-0.0079
M4 NegBin+Frank (calib 1X2),26JUN16ARGDZA,Argentina vs Algeria,1-0,3-0,SELL,0.1431,0.1667,-0.0236,0.0,0.1667
M4 NegBin+Frank (calib 1X2),26JUN16ARGDZA,Argentina vs Algeria,2-0,3-0,SELL,0.1238,0.1905,-0.0666,0.0,0.1905
M4 NegBin+Frank (calib 1X2),26JUN16ARGDZA,Argentina vs Algeria,3-0,3-0,SELL,0.0728,0.1032,-0.0303,1.0,-0.8968
M5 NegBin+Frank (calib 1X2+O/U),26JUN16ARGDZA,Argentina vs Algeria,0-0,3-0,BUY,0.055,0.0079,0.047,0.0,-0.0079
M5 NegBin+Frank (calib 1X2+O/U),26JUN16ARGDZA,Argentina vs Algeria,0-1,3-0,BUY,0.032,0.0079,0.024,0.0,-0.0079
M5 NegBin+Frank (calib 1X2+O/U),26JUN16ARGDZA,Argentina vs Algeria,1-0,3-0,SELL,0.1181,0.1667,-0.0486,0.0,0.1667
M5 NegBin+Frank (calib 1X2+O/U),26JUN16ARGDZA,Argentina vs Algeria,2-0,3-0,SELL,0.123,0.1905,-0.0675,0.0,0.1905
M3 NegBin+Frank,26JUN17AUTJOR,Austria vs Jordan,0-0,3-1,BUY,0.0628,0.0081,0.0547,0.0,-0.0081
M3 NegBin+Frank,26JUN17AUTJOR,Austria vs Jordan,0-1,3-1,BUY,0.0355,0.0081,0.0273,0.0,-0.0081
M3 NegBin+Frank,26JUN17AUTJOR,Austria vs Jordan,1-0,3-1,SELL,0.1276,0.1707,-0.0431,0.0,0.1707
M3 NegBin+Frank,26JUN17AUTJOR,Austria vs Jordan,2-0,3-1,SELL,0.1261,0.2195,-0.0935,0.0,0.2195
M3 NegBin+Frank,26JUN17AUTJOR,Austria vs Jordan,3-0,3-1,SELL,0.0836,0.122,-0.0383,0.0,0.122
M3 NegBin+Frank,26JUN17AUTJOR,Austria vs Jordan,4-1,3-1,BUY,0.0411,0.0163,0.0249,0.0,-0.0163
M4 NegBin+Frank (calib 1X2),26JUN17AUTJOR,Austria vs Jordan,0-0,3-1,BUY,0.0626,0.0081,0.0544,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17AUTJOR,Austria vs Jordan,0-1,3-1,BUY,0.0372,0.0081,0.0291,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17AUTJOR,Austria vs Jordan,1-0,3-1,SELL,0.1252,0.1707,-0.0455,0.0,0.1707
M4 NegBin+Frank (calib 1X2),26JUN17AUTJOR,Austria vs Jordan,2-0,3-1,SELL,0.1216,0.2195,-0.0979,0.0,0.2195
M4 NegBin+Frank (calib 1X2),26JUN17AUTJOR,Austria vs Jordan,3-0,3-1,SELL,0.0795,0.122,-0.0424,0.0,0.122
M4 NegBin+Frank (calib 1X2),26JUN17AUTJOR,Austria vs Jordan,4-1,3-1,BUY,0.0403,0.0163,0.0241,0.0,-0.0163
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,0-0,3-1,BUY,0.04,0.0081,0.0319,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,1-0,3-1,SELL,0.0987,0.1707,-0.0721,0.0,0.1707
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,2-0,3-1,SELL,0.1179,0.2195,-0.1016,0.0,0.2195
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,3-0,3-1,SELL,0.0934,0.122,-0.0285,0.0,0.122
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,3-1,3-1,BUY,0.0798,0.0569,0.0229,1.0,0.9431
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,4-1,3-1,BUY,0.0542,0.0163,0.0379,0.0,-0.0163
M5 NegBin+Frank (calib 1X2+O/U),26JUN17AUTJOR,Austria vs Jordan,5-1,3-1,BUY,0.0291,0.0081,0.021,0.0,-0.0081
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,0-0,1-1,BUY,0.2209,0.0081,0.2128,0.0,-0.0081
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,0-1,1-1,BUY,0.0894,0.0081,0.0812,0.0,-0.0081
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,1-0,1-1,BUY,0.2178,0.0081,0.2097,0.0,-0.0081
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,1-1,1-1,SELL,0.1128,0.1545,-0.0417,1.0,-0.8455
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,1-2,1-1,SELL,0.0287,0.0569,-0.0282,0.0,0.0569
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,2-0,1-1,BUY,0.1088,0.0081,0.1007,0.0,-0.0081
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,2-1,1-1,SELL,0.0685,0.2602,-0.1916,0.0,0.2602
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,2-2,1-1,SELL,0.0191,0.0732,-0.0541,0.0,0.0732
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,3-0,1-1,BUY,0.0381,0.0081,0.03,0.0,-0.0081
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,3-1,1-1,SELL,0.0264,0.1707,-0.1444,0.0,0.1707
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,3-2,1-1,SELL,0.0077,0.0488,-0.0411,0.0,0.0488
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,4-1,1-1,SELL,0.0074,0.065,-0.0576,0.0,0.065
M3 NegBin+Frank,26JUN17PORCOD,Portugal vs Congo DR,4-2,1-1,SELL,0.0022,0.0244,-0.0222,0.0,0.0244
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,0-0,1-1,BUY,0.1876,0.0081,0.1795,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,0-1,1-1,BUY,0.0507,0.0081,0.0425,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,1-0,1-1,BUY,0.2453,0.0081,0.2371,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,1-1,1-1,SELL,0.0825,0.1545,-0.072,1.0,-0.8455
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,1-2,1-1,SELL,0.0144,0.0569,-0.0425,0.0,0.0569
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,2-0,1-1,BUY,0.1599,0.0081,0.1518,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,2-1,1-1,SELL,0.0665,0.2602,-0.1936,0.0,0.2602
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,2-2,1-1,SELL,0.0124,0.0732,-0.0607,0.0,0.0732
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,3-0,1-1,BUY,0.0715,0.0081,0.0634,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,3-1,1-1,SELL,0.0338,0.1707,-0.1369,0.0,0.1707
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,3-2,1-1,SELL,0.0066,0.0488,-0.0422,0.0,0.0488
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,4-1,1-1,SELL,0.0124,0.065,-0.0527,0.0,0.065
M4 NegBin+Frank (calib 1X2),26JUN17PORCOD,Portugal vs Congo DR,4-2,1-1,SELL,0.0025,0.0244,-0.0219,0.0,0.0244
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,0-0,1-1,BUY,0.1592,0.0081,0.1511,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,0-1,1-1,BUY,0.0421,0.0081,0.0339,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,1-0,1-1,BUY,0.235,0.0081,0.2269,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,1-1,1-1,SELL,0.0757,0.1545,-0.0787,1.0,-0.8455
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,1-2,1-1,SELL,0.013,0.0569,-0.0439,0.0,0.0569
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,2-0,1-1,BUY,0.1722,0.0081,0.1641,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,2-1,1-1,SELL,0.0686,0.2602,-0.1915,0.0,0.2602
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,2-2,1-1,SELL,0.0126,0.0732,-0.0606,0.0,0.0732
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,3-0,1-1,BUY,0.0861,0.0081,0.0779,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,3-1,1-1,SELL,0.0395,0.1707,-0.1312,0.0,0.1707
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,3-2,1-1,SELL,0.0076,0.0488,-0.0412,0.0,0.0488
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,4-0,1-1,BUY,0.0333,0.0081,0.0251,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,4-1,1-1,SELL,0.0163,0.065,-0.0487,0.0,0.065
M5 NegBin+Frank (calib 1X2+O/U),26JUN17PORCOD,Portugal vs Congo DR,4-2,1-1,SELL,0.0032,0.0244,-0.0212,0.0,0.0244
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,0-0,4-2,BUY,0.1514,0.0063,0.1451,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,0-1,4-2,BUY,0.0878,0.0063,0.0815,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,0-2,4-2,BUY,0.028,0.0063,0.0217,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,1-0,4-2,BUY,0.1731,0.0443,0.1288,0.0,-0.0443
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,1-1,4-2,BUY,0.1235,0.0063,0.1172,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,1-2,4-2,BUY,0.0439,0.0063,0.0376,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,2-0,4-2,BUY,0.0992,0.0063,0.0929,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,2-1,4-2,BUY,0.0852,0.0063,0.0788,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,2-2,4-2,SELL,0.0338,0.1329,-0.0991,0.0,0.1329
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,2-3,4-2,SELL,0.0085,0.0759,-0.0674,0.0,0.0759
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,3-0,4-2,BUY,0.04,0.0063,0.0337,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,3-1,4-2,BUY,0.038,0.0063,0.0317,0.0,-0.0063
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,3-2,4-2,SELL,0.0161,0.1582,-0.1421,0.0,0.1582
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,3-3,4-2,SELL,0.0042,0.0759,-0.0718,0.0,0.0759
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,4-2,4-2,SELL,0.0055,0.0759,-0.0705,1.0,-0.9241
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,4-3,4-2,SELL,0.0014,0.038,-0.0365,0.0,0.038
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,5-2,4-2,SELL,0.0015,0.0253,-0.0239,0.0,0.0253
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,3-4,4-2,SELL,0.0008,0.0253,-0.0245,0.0,0.0253
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,5-4,4-2,SELL,0.0001,0.0253,-0.0252,0.0,0.0253
M3 NegBin+Frank,26JUN17ENGCRO,England vs Croatia,5-5,4-2,SELL,0.0,0.1646,-0.1645,0.0,0.1646
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,0-0,4-2,BUY,0.0802,0.0063,0.0739,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,0-1,4-2,BUY,0.0599,0.0063,0.0535,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,1-0,4-2,BUY,0.1263,0.0443,0.082,0.0,-0.0443
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,1-1,4-2,BUY,0.109,0.0063,0.1026,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,1-2,4-2,BUY,0.0476,0.0063,0.0413,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,2-0,4-2,BUY,0.0971,0.0063,0.0908,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,2-1,4-2,BUY,0.0989,0.0063,0.0926,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,2-2,4-2,SELL,0.0486,0.1329,-0.0843,0.0,0.1329
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,2-3,4-2,SELL,0.0156,0.0759,-0.0603,0.0,0.0759
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,3-0,4-2,BUY,0.0515,0.0063,0.0451,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,3-1,4-2,BUY,0.059,0.0063,0.0527,0.0,-0.0063
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,3-2,4-2,SELL,0.0318,0.1582,-0.1265,0.0,0.1582
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,3-3,4-2,SELL,0.0107,0.0759,-0.0653,0.0,0.0759
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,4-2,4-2,SELL,0.0149,0.0759,-0.0611,1.0,-0.9241
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,4-3,4-2,SELL,0.0051,0.038,-0.0329,0.0,0.038
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,3-4,4-2,SELL,0.0026,0.0253,-0.0227,0.0,0.0253
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,5-4,4-2,SELL,0.0005,0.0253,-0.0248,0.0,0.0253
M4 NegBin+Frank (calib 1X2),26JUN17ENGCRO,England vs Croatia,5-5,4-2,SELL,0.0001,0.1646,-0.1645,0.0,0.1646
