match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Iraq vs Norway,2026-06-17,draw,BUY,0.2468,0.11,0.1368,False,-0.11,1,4
Iraq vs Norway,2026-06-17,away,SELL,0.5894,0.87,-0.2806,True,-0.13,1,4
Austria vs Jordan,2026-06-17,home,SELL,0.4625,0.7,-0.2375,True,-0.3,3,1
Austria vs Jordan,2026-06-17,draw,BUY,0.2694,0.2,0.0694,False,-0.2,3,1
Austria vs Jordan,2026-06-17,away,BUY,0.2681,0.11,0.1581,False,-0.11,3,1
England vs Croatia,2026-06-17,home,SELL,0.5264,0.58,-0.0536,True,-0.42,4,2
England vs Croatia,2026-06-17,away,BUY,0.2232,0.19,0.0332,False,-0.19,4,2
Ghana vs Panama,2026-06-18,home,BUY,0.467,0.41,0.057,True,0.59,1,0
Ghana vs Panama,2026-06-18,draw,SELL,0.262,0.31,-0.048,False,0.31,1,0
Ghana vs Panama,2026-06-18,away,SELL,0.2711,0.3,-0.0289,False,0.3,1,0
Portugal vs Congo DR,2026-06-17,home,SELL,0.6212,0.65,-0.0288,False,0.65,1,1
Portugal vs Congo DR,2026-06-17,draw,SELL,0.2299,0.29,-0.0601,True,-0.71,1,1
Portugal vs Congo DR,2026-06-17,away,BUY,0.1489,0.08,0.0689,False,-0.08,1,1
Uzbekistan vs Colombia,2026-06-18,home,BUY,0.2107,0.1,0.1107,False,-0.1,1,3
Uzbekistan vs Colombia,2026-06-18,draw,BUY,0.2672,0.2,0.0672,False,-0.2,1,3
Uzbekistan vs Colombia,2026-06-18,away,SELL,0.5221,0.72,-0.1979,True,-0.28,1,3
Canada vs Qatar,2026-06-18,home,SELL,0.5088,0.75,-0.2412,True,-0.25,6,0
Canada vs Qatar,2026-06-18,draw,BUY,0.2758,0.18,0.0958,False,-0.18,6,0
Canada vs Qatar,2026-06-18,away,BUY,0.2155,0.09,0.1255,False,-0.09,6,0
Czechia vs South Africa,2026-06-18,home,SELL,0.5275,0.74,-0.2125,False,0.74,1,1
Czechia vs South Africa,2026-06-18,draw,BUY,0.262,0.21,0.052,True,0.79,1,1
Czechia vs South Africa,2026-06-18,away,BUY,0.2106,0.07,0.1406,False,-0.07,1,1
Mexico vs Korea Republic,2026-06-19,home,SELL,0.4339,0.48,-0.0461,True,-0.52,1,0
Mexico vs Korea Republic,2026-06-19,away,BUY,0.2748,0.24,0.0348,False,-0.24,1,0
Switzerland vs Bosnia and Herzegovina,2026-06-18,draw,SELL,0.25,0.34,-0.09,False,0.34,3,1
Switzerland vs Bosnia and Herzegovina,2026-06-18,away,BUY,0.1935,0.15,0.0435,False,-0.15,3,1
Brazil vs Haiti,2026-06-20,home,SELL,0.78,0.89,-0.11,True,-0.11,3,0
Brazil vs Haiti,2026-06-20,draw,BUY,0.147,0.08,0.067,False,-0.08,3,0
Brazil vs Haiti,2026-06-20,away,BUY,0.073,0.05,0.023,False,-0.05,3,0
Scotland vs Morocco,2026-06-19,home,BUY,0.2107,0.16,0.0507,False,-0.16,0,1
Scotland vs Morocco,2026-06-19,away,SELL,0.5253,0.59,-0.0647,True,-0.41,0,1
Turkiye vs Paraguay,2026-06-20,home,BUY,0.4798,0.38,0.0998,False,-0.38,0,1
Turkiye vs Paraguay,2026-06-20,draw,SELL,0.2689,0.32,-0.0511,False,0.32,0,1
Turkiye vs Paraguay,2026-06-20,away,SELL,0.2513,0.3,-0.0487,True,-0.7,0,1
USA vs Australia,2026-06-19,home,SELL,0.4365,0.61,-0.1735,True,-0.39,2,0
USA vs Australia,2026-06-19,draw,BUY,0.2821,0.22,0.0621,False,-0.22,2,0
USA vs Australia,2026-06-19,away,BUY,0.2814,0.19,0.0914,False,-0.19,2,0
Ecuador vs Curacao,2026-06-21,home,SELL,0.6219,0.85,-0.2281,False,0.85,0,0
Ecuador vs Curacao,2026-06-21,draw,BUY,0.2448,0.11,0.1348,True,0.89,0,0
Ecuador vs Curacao,2026-06-21,away,BUY,0.1333,0.06,0.0733,False,-0.06,0,0
Germany vs Ivory Coast,2026-06-20,home,SELL,0.5504,0.7,-0.1496,True,-0.3,2,1
Germany vs Ivory Coast,2026-06-20,draw,BUY,0.2434,0.19,0.0534,False,-0.19,2,1
Germany vs Ivory Coast,2026-06-20,away,BUY,0.2061,0.13,0.0761,False,-0.13,2,1
Netherlands vs Sweden,2026-06-20,home,SELL,0.6654,0.93,-0.2646,True,-0.07,5,1
Netherlands vs Sweden,2026-06-20,draw,BUY,0.1968,0.07,0.1268,False,-0.07,5,1
Netherlands vs Sweden,2026-06-20,away,BUY,0.1378,0.01,0.1278,False,-0.01,5,1
Spain vs Saudi Arabia,2026-06-21,home,SELL,0.8054,0.89,-0.0846,True,-0.11,4,0
Spain vs Saudi Arabia,2026-06-21,draw,BUY,0.1352,0.07,0.0652,False,-0.07,4,0
New Zealand vs Egypt,2026-06-22,away,SELL,0.5694,0.62,-0.0506,True,-0.38,1,3
Tunisia vs Japan,2026-06-21,home,BUY,0.1492,0.11,0.0392,False,-0.11,0,4
Tunisia vs Japan,2026-06-21,draw,BUY,0.2315,0.21,0.0215,False,-0.21,0,4
Tunisia vs Japan,2026-06-21,away,SELL,0.6194,0.7,-0.0806,True,-0.3,0,4
Argentina vs Austria,2026-06-22,home,SELL,0.5579,0.69,-0.1321,True,-0.31,2,0
Argentina vs Austria,2026-06-22,draw,BUY,0.2503,0.21,0.0403,False,-0.21,2,0
Argentina vs Austria,2026-06-22,away,BUY,0.1918,0.12,0.0718,False,-0.12,2,0
France vs Iraq,2026-06-23,home,SELL,0.7963,0.96,-0.1637,True,-0.04,3,0
France vs Iraq,2026-06-23,draw,BUY,0.1426,0.04,0.1026,False,-0.04,3,0
France vs Iraq,2026-06-23,away,BUY,0.0611,0.01,0.0511,False,-0.01,3,0
Norway vs Senegal,2026-06-23,home,SELL,0.3446,0.43,-0.0854,True,-0.57,3,2
Norway vs Senegal,2026-06-23,away,BUY,0.3774,0.31,0.0674,False,-0.31,3,2
Colombia vs Congo DR,2026-06-24,home,SELL,0.4828,0.58,-0.0972,True,-0.42,1,0
