series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN26URUESP,Uruguay vs Spain,2026-06-27T01:51:28.461000+00:00,2026-06-26T23:51:28+00:00,KXWCGAME-26JUN26URUESP-ESP,Spain,0.59,0.59,1.695,0.58,0.59,yes,finalized,2572615.80
KXWCGAME,KXWCGAME-26JUN26URUESP,Uruguay vs Spain,2026-06-27T01:51:28.461000+00:00,2026-06-26T23:51:28+00:00,KXWCGAME-26JUN26URUESP-TIE,Tie,0.26,0.26,3.846,0.25,0.26,no,finalized,94015.17
KXWCGAME,KXWCGAME-26JUN26SENIRQ,Senegal vs Iraq,2026-06-26T22:00:00+00:00,2026-06-26T20:00:00+00:00,KXWCGAME-26JUN26SENIRQ-SEN,Senegal,0.95,0.95,1.053,0.94,0.95,yes,finalized,2017261.79
KXWCGAME,KXWCGAME-26JUN26SENIRQ,Senegal vs Iraq,2026-06-26T22:00:00+00:00,2026-06-26T20:00:00+00:00,KXWCGAME-26JUN26SENIRQ-IRQ,Iraq,0.02,0.02,50.0,0.01,0.02,no,finalized,8075181.59
KXWCGAME,KXWCGAME-26JUN26SENIRQ,Senegal vs Iraq,2026-06-26T22:00:00+00:00,2026-06-26T20:00:00+00:00,KXWCGAME-26JUN26SENIRQ-TIE,Tie,0.05,0.05,20.0,0.04,0.05,no,finalized,3334908.37
KXWCGAME,KXWCGAME-26JUN26NORFRA,Norway vs France,2026-06-26T20:50:05.814000+00:00,2026-06-26T18:50:05+00:00,KXWCGAME-26JUN26NORFRA-NOR,Norway,0.13,0.13,7.692,0.12,0.13,no,finalized,1855416.25
KXWCGAME,KXWCGAME-26JUN26NORFRA,Norway vs France,2026-06-26T20:50:05.814000+00:00,2026-06-26T18:50:05+00:00,KXWCGAME-26JUN26NORFRA-FRA,France,0.71,0.71,1.408,0.7,0.71,yes,finalized,926032.98
KXWCGAME,KXWCGAME-26JUN26NORFRA,Norway vs France,2026-06-26T20:50:05.814000+00:00,2026-06-26T18:50:05+00:00,KXWCGAME-26JUN26NORFRA-TIE,Tie,0.17,0.17,5.882,0.16,0.17,no,finalized,395277.41
KXWCGAME,KXWCGAME-26JUN25TURUSA,Turkiye vs USA,2026-06-26T05:00:00+00:00,2026-06-26T03:00:00+00:00,KXWCGAME-26JUN25TURUSA-TUR,Turkiye,0.54,0.54,1.852,0.53,0.54,yes,finalized,5500520.47
KXWCGAME,KXWCGAME-26JUN25TURUSA,Turkiye vs USA,2026-06-26T05:00:00+00:00,2026-06-26T03:00:00+00:00,KXWCGAME-26JUN25TURUSA-USA,USA,0.21,0.21,4.762,0.2,0.21,no,finalized,22388992.28
